"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
3.22315301182214,3.04607242136059,4.44259883007991,4.68215024476075,3.71088904522629,4.58922402361527,2.4820780343343,4.85258577836879,5.10484870673326,2.71407003879123,3.6240513822459
3.05424336614606,3.35535997534125,3.72082973594249,4.0755072489634,3.66534447183023,4.07801839779413,3.16337746937164,4.65119137705194,3.35933287095642,2.64505274197948,2.78494292560892
3.48839798638384,3.51368255402507,4.40759403806393,5.24679168241332,4.19944388696917,5.23523561803593,2.47044839539012,5.27407931848044,3.86239311214042,2.83442031451621,3.05892449649156
2.62813194174559,3.31838014979775,3.75566568301019,5.48144986960267,3.97713600114945,4.34960534910007,2.46154503737691,4.7834835191287,3.40155556744578,2.33192186303892,3.00281216829046
2.81076439652295,3.25770174977796,3.99224246853407,4.64989888793937,3.67958580266598,4.4986678359366,2.37584892326254,4.78003810275635,3.51920415205628,2.40218405687154,3.18635220560862
2.85985858891491,3.29590287759983,4.45919499367645,4.45985265018598,4.55714766093912,4.59180102062149,2.81076204506491,5.11140065541447,4.14578985222125,2.72084498951051,3.27652345432853
4.05794797668734,3.22124231411486,4.48924865761561,4.78032111926811,3.92612918417686,3.9543917518988,2.84534053252026,5.40047627637809,3.69488518789378,2.36375284374179,3.22166803279995
3.6675556799529,3.09773315348866,3.71535377388826,4.38362690965653,3.67058489698755,4.21947158355423,3.49361531454509,4.87807930260546,3.83202307472921,2.51951029625864,2.92871311184287
3.30551434932994,3.64172968340687,3.5389200520049,4.61322373793826,3.57091094397698,4.80897994088685,3.22647433537681,5.42739827487104,4.3777406144754,2.46114136484895,4.0108456784557
3.31904184929101,3.36845610881808,3.57517974801093,4.36312746277933,3.97525862335117,4.73840087673115,2.5093316562687,3.56341974208018,3.79773195501067,2.50387130063011,3.46133167779962
4.39476185419266,3.22843075387582,4.208287952485,4.28295162262467,3.27353710697861,4.25470858233917,2.32802667983348,5.06024573404347,3.90260816237416,2.94738956189085,3.16252816725411
3.66487232366249,3.10550778844683,4.41923011236775,5.09062539094468,3.94034291812368,4.45592632938182,3.94818748299482,5.57358749275484,3.81878082712953,2.81010618773721,2.63150960426116
3.29935576444262,3.31832469971216,3.93162252500187,4.4282706548991,3.7112062512327,4.34840490164341,3.1366910477438,5.32731964666206,3.74693494471415,2.60598819770453,3.35102095903613
3.56521161507491,3.32613155374425,3.91588691195647,4.97425851226705,3.98888645325853,4.78455780860019,2.97542300889367,4.94407881171049,4.42223994039897,2.58873592716793,2.95513305220644
3.9689806883943,3.25144314441285,3.90088739979921,4.48894062364923,3.53933522350306,4.1426057466809,2.80511374152335,4.3837655033969,2.91096630132754,2.68732269048751,3.27338887613793
3.65968089775695,3.14815540172851,3.57388433242291,4.37619529817509,3.80261649193254,4.29648543438364,2.04833972856176,5.41499671086106,2.9393131174862,2.40111748455096,3.05131464587846
3.60879431471752,3.70050286890736,4.19243681390705,5.2952443963079,3.94737298498334,4.32133457099863,3.12323236575063,4.94027877717221,4.17826190461614,2.90580631207198,3.42997310594925
4.48871194979808,3.71600477205042,5.15039512689656,6.0305953464815,4.17282056604307,3.8107638951927,3.33821695763564,6.24442442046577,5.1203466691889,2.72071644125075,4.21343436531919
3.01971947289687,3.11796771646776,3.41443114255895,4.66311543109113,3.58966794986511,4.33548133365539,2.81283641911823,5.14815777278579,3.63530065357647,2.34383556197642,3.45355561353658
3.51401621191406,3.2352472228268,4.11140571239519,4.38629760040813,4.14646977146947,4.15125433935601,2.46045640593215,5.36696724295122,3.30183206661456,2.63018744000084,3.06480458488419
3.38909899277278,3.48947600083569,4.20949805799127,4.89443209249702,3.56566542039064,4.31664340773805,2.94864688167639,4.57853779286052,4.42129008782601,2.85770059470338,3.1591978129346
2.85899358602313,3.12490794701549,3.78772419542785,4.83424093367264,3.6673629870274,4.81607021514328,3.07381251926888,5.06847356053342,4.21041310211192,2.61786035426174,3.01896451697448
3.342673172977,3.07820763581468,3.90317629076964,4.58748851486307,3.85089936046396,5.22466350491029,3.2298710080121,5.65549698792689,4.0846791063809,2.41587407235681,3.27843855649089
3.27449301912011,3.31253613673097,3.56183313521953,4.6715806509362,3.82304457993807,4.43929859284975,2.9228610707746,4.91623490430402,3.04586824655628,2.78332749639742,3.42120678846995
3.30313478694316,3.25063148264168,4.16983073440088,4.54279900164642,4.03876728502013,4.45351606317868,3.50770431657435,5.87553413276452,4.66950538611381,2.7947314998863,2.81370602078061
2.80801960996377,3.14569190786482,4.20696802994488,4.81573550269021,3.79609865376628,4.92867118108237,2.70456861453171,5.89950600299334,3.39608372926223,2.60586469748536,3.28639424384177
3.55463889100441,3.82452876082616,4.20285243139586,4.82974885343241,4.25928053196436,4.70856566156927,2.53984654000938,4.88515970952792,4.77933524872079,2.57117631278676,3.09303504158925
3.4528873341611,3.87890995281202,4.23945168028159,4.8260484132658,4.23937646109272,4.6659796378215,2.49344020800837,4.80624597486591,4.65546544043627,2.52309031024114,3.04984742993081
3.44083361880233,3.0640543405081,4.70506699100495,4.31848039805961,3.77145915382409,4.70787150806083,2.48572233224921,5.35142901819189,5.23198118997921,2.6479626064527,3.75735024438925
3.34023197395858,3.61890497326647,3.93607570423838,4.7737678850702,3.42845212169011,3.89897635096139,3.07977918015236,5.70068163279183,3.20279266081795,2.68890015777125,2.9720120764293
3.20080156294417,2.93710150121046,4.13400878956385,4.99581542162214,3.43051120285893,4.40326998382367,2.80692822366182,4.90134669904956,3.58316559311924,2.38592478838275,3.40645392612521
3.64685128427827,3.36606036643258,4.0812784369304,4.16543456900247,3.52140527316684,4.35255215070334,2.57006344615595,4.15617980394707,3.76268698929884,2.53954242949373,2.6077516772974
4.3326279666415,3.50146411744813,4.8459821693797,4.11813545479889,3.91952108148898,4.15798211565645,3.1603433216091,5.37589170684889,4.16355992878475,2.81141778252605,3.06010818369458
3.53409454857319,3.44705605560366,3.66722513185592,4.05473851200205,3.70295231933975,4.41993496912522,3.32937327555911,5.66809250559266,4.09567085255122,2.49833873653556,3.2078042591438
3.71202526566176,3.23836921965866,3.978364152246,5.04363768215205,3.66173550122469,4.23041928705849,3.36339530152216,4.03273361514004,3.22107405316068,2.82520027484337,3.46875019409718
3.5829466824792,3.55966512788248,3.58458722338287,3.92145825947334,3.48770649361645,4.08055276670131,3.03726426048984,4.15071566483951,3.5505486350307,2.60234040947753,3.18732100967171
2.88732850409269,3.15485274962855,4.08751780329469,4.59707701081091,3.81897129050766,4.92595557666283,2.72131733623086,5.70143674422515,3.53423188041743,2.64447115609114,3.20432544235342
2.89719351250094,3.44954533959196,3.76168840647745,4.7930161299566,3.42518934196474,4.31105609896615,3.38681178921693,4.31361794160353,3.40763444906044,2.81782928975825,3.49327076839205
4.07346023622539,3.40862094932287,4.82234136020307,4.66990661384482,3.85596267886315,4.0286162079777,3.02252132640586,6.28853853999625,5.12735201208341,2.84079708245818,2.72865799873008
3.25983103624854,3.27814103519629,3.94462808235698,4.62120906423358,3.64169329344277,4.68720231693789,3.13133193595936,5.31076713799521,4.10535750182262,2.60012252036611,3.30404927975004
2.96577383178628,3.41627454176549,4.01927575828831,4.01321012171961,4.09026641115524,4.42248633188352,2.76977973882967,4.71141291521915,3.40627092608584,3.02365311802864,3.29008149857438
2.82191763824237,3.37419082090979,4.21759922714415,4.78267248279359,3.63923949652395,4.35760621682781,2.94341583914198,5.12467875614977,3.60346658486131,2.4491293525412,2.87932578499314
3.14371786291134,3.34422697796376,4.07371449581136,4.80309464264806,3.7741506035006,4.59697287559737,2.80861728998705,6.09361449410383,3.67212531904191,2.56542236156976,3.38899867331657
2.98198947089044,2.9350809127281,4.1556820639235,4.55923985638038,4.07320001930128,4.97389451144682,2.32477384567818,4.75495453437666,5.12748514724156,2.66752681702925,3.50082138771309
3.52804153253481,3.44469380648751,4.63363500419287,4.74874703644446,4.10050525075421,4.38359945880049,3.16702397206038,5.25325669366314,3.24239955242023,2.36430959995704,3.18367792739262
3.5547236212289,3.35196721685302,4.28533896036291,4.89343617896121,3.9142726793462,4.38566796397225,3.29350178249823,4.61102288308912,3.95078997958113,2.30979262620582,3.30229801209234
3.28943660002154,3.26961742538662,3.53751346651268,5.00097829637012,4.11604270266581,4.44415212151173,4.37117541549822,5.05487007459541,4.60470881172317,2.94157362198041,3.69344043095285
